Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Eco Score,Predicted Eco Score
ROLLS-ROYCE Spectre (23'' Wheels),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRRGV00.0R2B,small car,10,67,75,70,10,Elite,70.0,70.0
TOYOTA Camry HEV AWD LE,2.5,4.0,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,51,49,50,8,Yes,66.66666666666667,66.58666666666676
TOYOTA Camry HEV AWD LE,2.5,4.0,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,STYXV02.5P3A,midsize car,6,51,49,50,8,Yes,66.66666666666667,66.58666666666676
TOYOTA Camry HEV AWD SE/XLE,2.5,4.0,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,46,46,46,8,Yes,61.333333333333336,61.37904761904756
TOYOTA Camry HEV AWD SE/XLE,2.5,4.0,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,STYXV02.5P3A,midsize car,6,46,46,46,8,Yes,61.333333333333336,61.37904761904756
TOYOTA Camry HEV FF LE,2.5,4.0,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,53,50,51,8,Yes,68.0,67.53333333333337
TOYOTA Camry HEV FF LE,2.5,4.0,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,STYXV02.5P3A,midsize car,6,53,50,51,8,Yes,68.0,67.53333333333337
TOYOTA Camry HEV FF SE/XLE/XSE,2.5,4.0,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P3A,midsize car,6,48,47,47,8,Yes,62.666666666666664,62.65333333333339
TOYOTA Camry HEV FF SE/XLE/XSE,2.5,4.0,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,STYXV02.5P3A,midsize car,6,48,47,47,8,Yes,62.666666666666664,62.65333333333339
VOLVO EC40,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0B,small SUV,10,118,95,106,10,Elite,106.0,106.0
VOLVO EC40,,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,SVVXV00.0Z0B,small SUV,10,118,95,106,10,Elite,106.0,106.0
VOLVO EC40 Twin,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0A,small SUV,10,105,88,97,10,Elite,97.0,97.0
VOLVO EC40 Twin,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVVXV00.0Z0A,small SUV,10,105,88,97,10,Elite,97.0,97.0
VOLVO EX30 Single Motor Extended Range (18 Inch Wheels),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0D,small SUV,10,124,103,114,10,Elite,114.0,114.0
VOLVO EX30 Single Motor Extended Range (18 Inch Wheels),,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,SVVXV00.0Z0D,small SUV,10,124,103,114,10,Elite,114.0,114.0
VOLVO EX30 Single Motor Extended Range(19_20 Inch Wheel),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0D,small SUV,10,127,104,116,10,Elite,116.0,116.0
VOLVO EX30 Single Motor Extended Range(19_20 Inch Wheel),,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,SVVXV00.0Z0D,small SUV,10,127,104,116,10,Elite,116.0,116.0
VOLVO EX40,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0B,small SUV,10,118,94,106,10,Elite,106.0,106.0
VOLVO EX40,,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,SVVXV00.0Z0B,small SUV,10,118,94,106,10,Elite,106.0,106.0
VOLVO EX40 Twin,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVVXV00.0Z0A,small SUV,10,103,85,94,10,Elite,94.0,94.0
VOLVO EX40 Twin,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVVXV00.0Z0A,small SUV,10,103,85,94,10,Elite,94.0,94.0
VOLVO S60 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,small car,6,30/74,33/73,31,9,Yes,46.5,46.455
VOLVO S60 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SVVXJ02.0P30,small car,6,30/74,33/73,31,9,Yes,46.5,46.455
VOLVO S90 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,midsize car,6,28/66,31/67,29,9,Yes,43.5,43.22785714285714
VOLVO S90 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SVVXJ02.0P30,midsize car,6,28/66,31/67,29,9,Yes,43.5,43.22785714285714
VOLVO V60 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,station wagon,6,30/74,33/73,31,9,Yes,46.5,46.455
VOLVO V60 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SVVXJ02.0P30,station wagon,6,30/74,33/73,31,9,Yes,46.5,46.455
VOLVO XC60 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,small SUV,6,28/66,28/60,28,9,Yes,42.0,41.355
VOLVO XC60 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SVVXJ02.0P30,small SUV,6,28/66,28/60,28,9,Yes,42.0,41.355
VOLVO XC90 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVVXJ02.0P30,standard SUV,6,26/59,27/57,27,8,Yes,36.0,35.72523809523809
VOLVO XC90 T8,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SVVXJ02.0P30,standard SUV,6,26/59,27/57,27,8,Yes,36.0,35.72523809523809
