Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small car,7,22/59,28/67,25/62,8,Yes
BMW X5 xDrive45e,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,standard SUV,7,19/51,22/54,20/52,8,Yes
BMW X5 xDrive45e,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,standard SUV,7,19/51,22/54,20/52,8,Yes
BMW XM,4.4,8.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,standard SUV,7,12/46,17/46,14/46,7,Yes
BMW XM,4.4,8.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,standard SUV,7,12/46,17/46,14/46,7,Yes
"BMW i4 M50 Gran Coupe (19"" Wheels)",,,Auto-1,4WD,Electricity,FA,small car,10,94,98,96,10,Elite
"BMW i4 M50 Gran Coupe (19"" Wheels)",,,Auto-1,4WD,Electricity,CA,small car,10,94,98,96,10,Elite
"BMW i4 M50 Gran Coupe (20"" Wheels)",,,Auto-1,4WD,Electricity,FA,small car,10,79,80,80,10,Elite
"BMW i4 M50 Gran Coupe (20"" Wheels)",,,Auto-1,4WD,Electricity,CA,small car,10,79,80,80,10,Elite
BMW i4 eDrive 35 Gran Coupe (19'' Wheels),,,Auto-1,2WD,Electricity,FA,small car,10,107,102,105,10,Elite
BMW i4 eDrive 35 Gran Coupe (19'' Wheels),,,Auto-1,2WD,Electricity,CA,small car,10,107,102,105,10,Elite
BMW i4 eDrive35 Gran Coupe (18'' Wheels),,,Auto-1,2WD,Electricity,FA,small car,10,115,111,113,10,Elite
BMW i4 eDrive35 Gran Coupe (18'' Wheels),,,Auto-1,2WD,Electricity,CA,small car,10,115,111,113,10,Elite
"BMW i4 eDrive40 Gran Coupe (18"" Wheels)",,,Auto-1,2WD,Electricity,FA,small car,10,109,108,109,10,Elite
"BMW i4 eDrive40 Gran Coupe (18"" Wheels)",,,Auto-1,2WD,Electricity,CA,small car,10,109,108,109,10,Elite
"BMW i4 eDrive40 Gran Coupe (19"" Wheels)",,,Auto-1,2WD,Electricity,FA,small car,10,100,98,99,10,Elite
"BMW i4 eDrive40 Gran Coupe (19"" Wheels)",,,Auto-1,2WD,Electricity,CA,small car,10,100,98,99,10,Elite
BMW i7 xDrive60 Sedan (19'' Wheels),,,Auto-1,4WD,Electricity,FA,large car,10,87,92,89,10,Elite
BMW i7 xDrive60 Sedan (19'' Wheels),,,Auto-1,4WD,Electricity,CA,large car,10,87,92,89,10,Elite
BMW i7 xDrive60 Sedan (20'' Wheels),,,Auto-1,4WD,Electricity,FA,large car,10,81,85,83,10,Elite
